cenario;tabela;hash;probe;M;N;seed;tempoIns(ns);tempoBus(ns);colisIns;colisBus;rehashCount;top1;top2;top3;gapMin;gapMax;gapMean;gapCount
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;1000000;424242;36399100;30045200;499917;499917;0;9;9;8;0;13;0.5819;632136
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;10000000;42;3120169000;2703773700;49967936;49967936;0;29;28;28;0;1;0.0000;999952
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;10000000;4242;2949577300;2488893200;49961971;49961971;0;27;26;26;0;1;0.0000;999951
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;10000000;424242;2964695200;941679500;49954189;49954189;0;32;27;26;0;1;0.0000;999950
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;100000;42;2093900;812800;4957;4957;0;4;4;4;0;141;9.5040;95199
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;100000;4242;1737200;776400;4962;4962;0;4;4;4;0;137;9.5068;95173
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;100000;424242;1868400;727200;5081;5081;0;4;4;4;0;122;9.5180;95073
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;1000000;42;28873900;26062300;498741;498741;0;10;9;9;0;14;0.5809;632553
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;1000000;4242;31800500;27281800;498560;498560;0;8;8;8;0;12;0.5805;632690
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;1000000;424242;30735500;26938500;500438;500438;0;8;8;8;0;11;0.5824;631941
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;10000000;42;2421913900;1942120500;49954817;49954817;0;30;29;28;0;1;0.0000;999971
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;10000000;4242;2362866600;1899802500;49956307;49956307;0;30;28;28;0;1;0.0000;999951
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;10000000;424242;2191602600;1509914700;49961579;49961579;0;28;27;27;0;1;0.0000;999950
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1000000;100000;42;3337200;1385200;5647;5647;0;0;0;0;0;128;9.0000;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1000000;100000;4242;2502700;1343500;5468;5468;0;0;0;0;0;127;9.0001;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1000000;100000;424242;2597900;1131500;5626;5626;0;0;0;0;0;124;8.9999;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;2000001;1000000;42;44064900;19120800;1815526;499947;1;0;0;0;0;24;1.0000;999999
